Bug ID,RepGen,Llama-3-8B,Llama-3-8B,Llama-3-8B,Llama3.3-70B,Llama3.3-70B,Llama3.3-70B,Deepseek-R1-7B,Deepseek-R1-7B,Deepseek-R1-7B,Deepseek-R1-685B,Deepseek-R1-685B,Deepseek-R1-685B,Qwen-3-8B,Qwen-3-8B,Qwen-3-8B,GPT-4.1,GPT-4.1,GPT-4.1,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-Coder-7B,Qwen2.5-Coder-7B,Qwen2.5-Coder-7B
,Baseline,Zero-Shot,Few-Shot,CoT,Zero-Shot,Few-Shot,CoT,Zero-Shot,Few-Shot,CoT,Zero-Shot,Few-Shot,CoT,Zero-Shot,Few-Shot,CoT,Zero-Shot,Few-Shot,CoT,Zero-Shot,Few-Shot,CoT,Zero-Shot,Few-Shot,CoT
1,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N
2,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N
3,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,Y,Y,N,Y,Y,N
4,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y,N
5,Y,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,N
6,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,Y,Y,N,Y,N
7,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N
8,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,Y,N,Y,N
9,Y,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y
10,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,N
11,Y,Y,N,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,Y,N,N
12,Y,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N
13,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
14,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,N,Y,N,Y,N
15,Y,N,N,N,Y,Y,Y,N,N,N,Y,N,Y,Y,N,Y,N,N,Y,Y,N,Y,N,Y,N
16,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N
17,Y,N,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y
18,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y
19,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y
20,N,Y,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y
