RespondentId,Q1,Q2,Q3Tensorflow,Q3PyTorch,Q3Keras,Q3JAX,Q3Others,Q3OthersOther,Q4,Q5FreeText,Q6FreeText,Q7FreeText,Q8,Q9,Q10FreeText,Q11FreeText,Q12,Q13,Success,Time,Q14FreeText,Mental,Temporal,Performance,Effort,Frustration,Q20FreeText
9877809,5,2,1,1,1,0,0,,"Yes, occasionally (every few months)",Version mismatches between dependencies    Tensor shape errors    Broken training pipelines due to deprecated API usage    Mismatch in data pipeline and model input requirements,Incomplete environment information    Missing model/config files    Hardcoded file paths    Outdated or deprecated functions    Lack of minimal working example,"The bug is caused by an outdated reference to tensorflow.contrib, which was removed in TensorFlow 2.x. The exporter.py file tries to import from tensorflow.contrib.quantize.python, which is incompatible with TF2. The user seems to be using model_main_tf2.py from the TensorFlow models repository, but the exporter.py file still contains legacy code.",Yes,22,Created a new conda environment and installed TensorFlow 2.15.    Cloned the TensorFlow models GitHub repo.    Attempted to run the command provided with dummy paths.    Manually inspected exporter.py to identify the offending line.    Encountered the error: ModuleNotFoundError: No module named 'tensorflow.contrib'    Confirmed the root cause as legacy TF 1.x code used with TF 2.x.,"When using a mask, the input (original_input) is reshaped internally in LFQ.forward, but quantized retains a different shape. When computing the commitment loss, PyTorch broadcasting fails or issues a warning due to this shape mismatch. This occurs only when a mask and commitment_loss_weight > 0 are used.",Yes,31,1,26.5,Installed vector-quantize-pytorch==1.21.2 using pip.    Created a dummy input tensor with batch-size 2 and sequence length 1851.    Added a mask as described in the GitHub issue.    Forwarded the input through the model with commitment_loss_weight=1.0.    Observed a warning about size mismatch due to broadcasting in the commit loss.    Verified the mismatch was caused by shape differences from the reshaping step in the forward pass.,4,4,3,4,4,"Environment details (Python version, specific TF or PyTorch versions)    The exact lines where the error occurs    Clarification on file structure and expected model/config paths"
9877819,5,2,1,1,1,0,0,,"Yes, occasionally (every few months)","Common issues include version incompatibilities, missing modules or deprecated APIs, shape mismatches in tensors, and problems related to training convergence or data loading.","Some key challenges include undocumented dependencies, environment mismatches, vague or incomplete error descriptions, and lack of minimal reproducible examples. When exact framework or library versions are not specified, it becomes difficult to replicate the error reliably.","The code attempts to import tensorflow.contrib, which was removed in TensorFlow 2.x. The graph_matcher module that was originally part of contrib.quantize is no longer available. This happens because the exporter.py script has not been updated for TensorFlow 2 compatibility.",Yes,28,Set up the environment using Python 3.9 and TensorFlow 2.15 via Miniforge.    Installed the TensorFlow Object Detection API from source.    Downloaded a model config (centernet_mobilenetv2fp) and tried to run the model_main_tf2.py script as given.    Encountered the ModuleNotFoundError related to tensorflow.contrib during the import of graph_matcher from the exporter.py file.    Verified that tf.contrib has been removed in TF2.x and that the script was outdated.,"When a mask is applied, the input (original_input) is reshaped in a way that is incompatible with the reshaped quantized output. This leads to a mismatch in dimensions during the calculation of commit_loss, causing a broadcasting warning and potential inaccuracies in training.",No,34,0.5,31,Installed the vector-quantize-pytorch package version 1.21.2.    Created a test script that initializes ResidualLFQ with commitment_loss_weight=1.0 and applies a mask on part of the input sequence.    Ran the forward pass with torch.autograd.detect_anomaly() to observe runtime behaviors.    Received a shape mismatch warning and confirmed it was due to incorrect reshaping of masked inputs.,3,4,3,3,3,"More information about the bug, as well as a better idea of its symptoms and the names of the relevant modules, could be helpful."
9877829,4,2,1,1,0,0,0,,"Yes, frequently (more than once a month)","Training instability, bad input pipelines, TF versioning","Missing env/config setup, vague steps, unclear failure modes",Uses tf.contrib — deprecated since TF 2.0,No,18,"Cloned repo, installed TF 2.15, ran model_main_tf2.py, traceback pointed to contrib in exporter.py",Masked inputs change tensor dimensions; commit loss doesn't apply masking logic correctly,Yes,27,0.5,22.5,"Used masked input like example, ran script, loss output warning showed bug",3,3,4,3,3,Clear env and minimal script; maybe Docker or env.yml would help
9877830,5,3,1,1,0,1,0,,"Yes, frequently (more than once a month)","Tensor shape mismatches, CUDA issues, bad optimizers","No info on deps, ambiguous scripts, non-working examples",tf.contrib.graph_matcher import fails in TF 2.x,Yes,14,"Ran model_main_tf2.py, import error pointed to contrib use","Masked data isn't handled during loss calc, so output misaligned",No,46,0.5,30,"Followed bug description, couldn't reproduce warning even with masking",4,5(Very High),4,4,5(Very High),A failing test case + a command to run it would clarify it all.
9877832,7,5,1,1,0,0,0,,"Yes, frequently (more than once a month)","Dataset issues, model graph inconsistencies, optimizer-related crashes","Missing configs, data files, or logs; hard to follow paths",contrib modules removed; fails on import,Yes,10,Knew contrib is obsolete; verified error with standard test input,"Loss function doesn't respect masked input, causing shape mismatch",Yes,25,1,17.5,Simulated masked training batch; inspected log output and confirmed issue,2,2,3,3,3,Input/output tensor examples and exact run command
9877835,5,2,1,1,0,0,0,,"Yes, occasionally (every few months)","Loss bugs, wrong learning rate, unstable convergence","Scripts not runnable as-is, broken dependencies","Legacy code, contrib no longer exists",Yes,22,Script failed on import; checked source and confirmed deprecated module,Mask logic isn't respected in loss layer; error is silent unless debugged,No,30,0.5,26,"Used test data, masked input; no warning occurred, possibly incorrect test",3,3,3,3,3,Add test cases and dummy data for input validation
9877839,4,1,1,1,0,0,0,,"No, never",Mostly training errors; not much bug exposure,"Too vague, no 'how to run' guidance","Unsure, an import error appeared.",No,35,"Tried to run object detection script; got error, but didn't understand if relevant",I didn’t understand how masking affects training,Yes,40,0.5,37.5,Tried multiple inputs; all failed due to unrelated tensor shape issues,4,4,5(Very High),4,5(Very High),I needed an actual run command with working input/output
9877858,4,3,1,1,1,0,0,,"Yes, frequently (more than once a month)","Weird loss values, NaNs","No setup guide, missing input format",Deprecated contrib module in TF 2.x,Yes,25,"Installed TF2, ran script, traced import error.",Masking mishandled in loss calculation,Yes,30,1,27.5,"Used example input, masked tokens, looked at log",3,2,3,3,2,"Include Dockerfile, sample run logs"
9877863,9,7,1,1,0,1,0,,"Yes, frequently (more than once a month)","Graph mismatches, CUDA memory issues",No version control on dependencies,Legacy tf.contrib.graph_matcher import,Yes,12,"Looked for import stack trace, confirmed obsolete use",Loss doesn’t respect padding/masks,Yes,15,1,13.5,"Crafted dummy input with mask, traced output",2,1(Very Low),2,2,1(Very Low),Add failing test case + expected output
9877866,4,1,0,1,1,0,0,,"Yes, occasionally (every few months)",-,-,Not sure what 'contrib' is,No,45,Got confused about folder structure,Didn’t understand masking,No,35,0,40,Didn’t know how to construct input,5(Very High),5(Very High),5(Very High),5(Very High),5(Very High),I need a dummy example to test
